district,county,url,dnssec_domain,dnssec_nameserver,has_dnssec,dnssec_is_valid,dnssec_algorithm
Guarda,Aguiar da Beira,www.cm-aguiardabeira.pt,cm-aguiardabeira.pt,ns1.servidormix.com.,False,False,
Santarém,Alcanena,www.cm-alcanena.pt,cm-alcanena.pt,ns2.claranet.pt.,False,False,
Santarém,Abrantes,www.cm-abrantes.pt,cm-abrantes.pt,ns8.mydnspt.net.,False,False,
Aveiro,Águeda,www.cm-agueda.pt,cm-agueda.pt,ns2.netvisao.pt.,False,False,
Setúbal,Alcácer do Sal,www.cm-alcacerdosal.pt,cm-alcacerdosal.pt,ns2.cm-alcacerdosal.pt.,False,False,
Évora,Alandroal,www.cm-alandroal.pt,cm-alandroal.pt,ns01.cm-alandroal.pt.,False,False,
Beja,Ourique,www.cm-ourique.pt,cm-ourique.pt,dns1.host-redirect.com.,True,False,
Leiria,Alcobaça,www.cm-alcobaca.pt,cm-alcobaca.pt,ns1.ptempresas.pt.,False,False,
Coimbra,Penacova,www.cm-penacova.pt,cm-penacova.pt,ns2.ptempresas.pt.,False,False,
Faro,Albufeira,www.cm-albufeira.pt,cm-albufeira.pt,portal.cm-albufeira.pt.,False,False,
