district,county,url,strict-transport-security,x-frame-options,x-content-type-options,content-security-policy,x-permitted-cross-domain-policies,referrer-policy,clear-site-data,cross-origin-embedder-policy,cross-origin-opener-policy,cross-origin-resource-policy,cache-control
Faro,Albufeira,www.cm-albufeira.pt,False,True,True,False,False,False,False,False,False,False,True
Évora,Alandroal,www.cm-alandroal.pt,True,False,False,False,False,False,False,False,False,False,True
Setúbal,Alcácer do Sal,www.cm-alcacerdosal.pt,False,True,True,False,False,True,False,False,False,False,True
Santarém,Alcanena,www.cm-alcanena.pt,False,False,False,False,False,False,False,False,False,False,False
Beja,Ourique,www.cm-ourique.pt,,,,,,,,,,,
Leiria,Alcobaça,www.cm-alcobaca.pt,False,False,False,False,False,False,False,False,False,False,True
Coimbra,Penacova,www.cm-penacova.pt,,,,,,,,,,,
Guarda,Aguiar da Beira,www.cm-aguiardabeira.pt,False,False,False,False,False,False,False,False,False,False,True
Santarém,Abrantes,www.cm-abrantes.pt,False,False,False,False,False,False,False,False,False,False,True
Aveiro,Águeda,www.cm-agueda.pt,True,False,False,False,False,False,False,False,False,False,True
